Domain Code,Domain,Item Code,Item,Description
LC,Agri-Environmental Indicators: Land Cover,6970,Artificial surfaces (including urban and associated areas),
LC,Agri-Environmental Indicators: Land Cover,6982,Coastal water bodies and intertidal areas,
LC,Agri-Environmental Indicators: Land Cover,6983,Grassland,
LC,Agri-Environmental Indicators: Land Cover,6971,Herbaceous crops,
LC,Agri-Environmental Indicators: Land Cover,6981,Inland water bodies,
LC,Agri-Environmental Indicators: Land Cover,6975,Mangroves,
LC,Agri-Environmental Indicators: Land Cover,6973,Multiple or layered crops,
LC,Agri-Environmental Indicators: Land Cover,6980,Permanent snow and glaciers,
LC,Agri-Environmental Indicators: Land Cover,6976,Shrub-covered areas,
LC,Agri-Environmental Indicators: Land Cover,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",
LC,Agri-Environmental Indicators: Land Cover,6978,Sparsely natural vegetated areas,
LC,Agri-Environmental Indicators: Land Cover,6979,Terrestrial barren land,
LC,Agri-Environmental Indicators: Land Cover,6974,Tree-covered areas,
LC,Agri-Environmental Indicators: Land Cover,6972,Woody crops,
EL,Agri-Environmental Indicators: Land use indicators,6610,Agricultural land,Land used for cultivation of crops and animal husbandry. The total of areas under ''Cropland'' and ''Permanent meadows and pastures.''
EL,Agri-Environmental Indicators: Land use indicators,6611,Agriculture area actually irrigated,Land area actually irrigated that is Agriculture.
EL,Agri-Environmental Indicators: Land use indicators,6671,Agriculture area under organic agric.,'Agriculture'' area certified organic and/or in conversion to organic.
EL,Agri-Environmental Indicators: Land use indicators,6621,Arable land,"The total of areas under temporary crops, temporary meadows and pastures, and land with temporary fallow.  Arable land does not include land that is potentially cultivable but is not normally cultivated."
EL,Agri-Environmental Indicators: Land use indicators,6620,Cropland,Land used for cultivation of crops. The total of areas under ''Arable land'' and ''Permanent crops''.
EL,Agri-Environmental Indicators: Land use indicators,6646,Forest land,"Land spanning more than 0.5 hectares with trees higher than 5 metres and a canopy cover of more than 10 per cent, or trees able to reach these thresholds in situ. Excludes land that is predominantly under agricultural or urban land use, and land that is predominantly used for maintenance and restoration of environmental function. Explanatory notes:• Forest land is determined both by the presence of trees and by the absence of other predominant land uses. The trees should be able to reach a minimum height of 5 metres in situ• Includes areas with young trees that have not yet reached but that are expected to reach a canopy cover of 10 per cent and tree height of 5 metres. It also includes areas that are temporarily unstocked owing to clear-cutting as part of a forest management practice or natural disasters, and that are expected to be regenerated within five years. Local conditions may, in exceptional cases, justify the use of a longer time frame• Includes forest roads, firebreaks and other small open areas• May include forest land in national parks, nature reserves and other protected areas, such as those of specific environmental, scientific, historical, cultural orspiritual interest• Includes windbreaks, shelter belts and corridors of trees with an area of more than 0.5 hectares and width of more than 20 metres• Includes abandoned shifting cultivation land with a regeneration of trees that have, or is expected to reach, a canopy cover of 10 per cent and tree height of 5 metres• Includes areas with mangroves in tidal zones, regardless of whether this area is classified as land area or not• Includes areas with bamboo and palms provided that land use, height and canopy cover criteria are met• Some agroforestry systems such as the taungya system, where crops are grown only during the first years of the forest rotation should be classified as forest• Excludes: tree stands in agricultural production systems, such as fruit-tree plantations (→Permanent crops), oil palm plantations, rubber and Christmas trees (→Permanent crops) and agroforestry systems when crops are grown under tree cover"
EL,Agri-Environmental Indicators: Land use indicators,6690,Land area equipped for irrigation,"Land area equipped with irrigation infrastructure and equipment to provide water to crops, which are in working order. The equipment does not have to be used during the reference year. The area equipped for irrigation covers areas equipped for fully controlled irrigation by any of the methods of surface, sprinkler or localized irrigation. It also includes areas under partially controlled irrigation methods of spate irrigation (controlling flood waters to water crops), equipped wetlands and inland valley bottoms and equipped flood recession. It excludes manual watering of plants using buckets, watering cans or other devices."
EL,Agri-Environmental Indicators: Land use indicators,6655,Land under perm. meadows and pastures,"Land used permanently (five years or more) to grow herbaceous forage crops through cultivation or naturally (wild prairie or grazing land). Permanent meadows and pastures on which trees and shrubs are grown should be recorded under this heading only if the growing of forage crops is the most important use of the area. Measures may be taken to keep or increase productivity of the land (i.e., use of fertilizers, mowing or systematic grazing by domestic animals.) This class includes:• Grazing in wooded areas (agroforestry areas, for example)• Grazing in shrubby zones (heath, maquis, garigue)• Grassland in the plain or low mountain areas used for grazing: land crossed during transhumance where the animals spend a part of the year (approximately 100 days) without returning to the holding in the evening: mountain and subalpine meadows and similar; and steppes and dry meadows used for pasture."
EL,Agri-Environmental Indicators: Land use indicators,6650,Land under permanent crops,"Land cultivated with long-term crops which do not have to be replanted for several years (such as cocoa and coffee), land under trees and shrubs producing flowers (such as roses and jasmine), and nurseries (except those for forest trees, which should be classified under ""Forestry""). Permanent meadows and pastures are excluded from land under permanent crops."
EL,Agri-Environmental Indicators: Land use indicators,6717,Naturally regenerating forest,"Forest predominantly composed of trees established through natural regeneration.Explanatory notes1. Includes forests for which it is not possible to distinguish whether planted or naturally regenerated. 2. Includes forests with a mix of naturally regenerated native tree species and planted/seeded trees, and where the naturally regenerated trees are expected to constitute the major part of the growing stock at stand maturity. 3. Includes coppice from trees originally established through natural regeneration. 4. Includes naturally regenerated trees of introduced species."
EL,Agri-Environmental Indicators: Land use indicators,6716,Planted Forest,"Forest predominantly composed of trees established through planting and/or deliberate seeding.Explanatory notes1. In this context, predominantly means that the planted/seeded trees are expected to constitute more than 50 percent of the growing stock at maturity. 2. Includes coppice from trees that were originally planted or seeded."
EMN,Agri-Environmental Indicators: Livestock Manure,1755,All Animals,
EMN,Agri-Environmental Indicators: Livestock Manure,1107,Asses,Equus asinus. See 866.
EMN,Agri-Environmental Indicators: Livestock Manure,946,Buffaloes,"Indian, Asiatic, pigmy, water buffalo (Bubalus bubalus; B. arnee; B. depressicornis); African buffalo (genus Syncerus); American bison (Bison bison); European bison (Bison bonasus); beeffalo (cross between a bison and a domesticated beef animal). See 866. Excludes wild bisons and buffaloes."
EMN,Agri-Environmental Indicators: Livestock Manure,1126,Camels,Bactrian camel (Camelus bactrianus); Arabian camel (C. dromedarius). See 866.
EMN,Agri-Environmental Indicators: Livestock Manure,1760,Camels and Llamas,
EMN,Agri-Environmental Indicators: Livestock Manure,1757,Cattle,
EMN,Agri-Environmental Indicators: Livestock Manure,960,"Cattle, dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are producing milk in commercial quantities for human consumption."
EMN,Agri-Environmental Indicators: Livestock Manure,961,"Cattle, non-dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are produce calves for meat or to provide draft power."
EMN,Agri-Environmental Indicators: Livestock Manure,1054,Chickens,
EMN,Agri-Environmental Indicators: Livestock Manure,1053,"Chickens, broilers",
EMN,Agri-Environmental Indicators: Livestock Manure,1052,"Chickens, layers",
EMN,Agri-Environmental Indicators: Livestock Manure,1068,Ducks,Anas spp.. See 1057.
EMN,Agri-Environmental Indicators: Livestock Manure,1016,Goats,"Capra spp.. See 866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir and Angora."
EMN,Agri-Environmental Indicators: Livestock Manure,1096,Horses,Equus caballus. See 866.
EMN,Agri-Environmental Indicators: Livestock Manure,1177,Llamas,See Other camelids.
EMN,Agri-Environmental Indicators: Livestock Manure,1110,Mules,Includes hinnies. Mules are offspring of a male ass and a female horse (mare); a hinny is the offspring of a female ass and a male horse (stallion). Both are sterile. See 866.
EMN,Agri-Environmental Indicators: Livestock Manure,1759,Mules and Asses,
EMN,Agri-Environmental Indicators: Livestock Manure,2029,Poultry Birds,
EMN,Agri-Environmental Indicators: Livestock Manure,976,Sheep,"Ovis spp.. See 866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan."
EMN,Agri-Environmental Indicators: Livestock Manure,1749,Sheep and Goats,
EMN,Agri-Environmental Indicators: Livestock Manure,1048,Swine,
EMN,Agri-Environmental Indicators: Livestock Manure,1051,"Swine, breeding",
EMN,Agri-Environmental Indicators: Livestock Manure,1049,"Swine, market",
EMN,Agri-Environmental Indicators: Livestock Manure,1079,Turkeys,Meleagris gallopavo. See 1057.
EK,Agri-Environmental Indicators: Livestock Patterns,1107,Asses,Equus asinus. See 866.
EK,Agri-Environmental Indicators: Livestock Patterns,946,Buffaloes,"Indian, Asiatic, pigmy, water buffalo (Bubalus bubalus; B. arnee; B. depressicornis); African buffalo (genus Syncerus); American bison (Bison bison); European bison (Bison bonasus); beeffalo (cross between a bison and a domesticated beef animal). See 866. Excludes wild bisons and buffaloes."
EK,Agri-Environmental Indicators: Livestock Patterns,1126,Camels,Bactrian camel (Camelus bactrianus); Arabian camel (C. dromedarius). See 866.
EK,Agri-Environmental Indicators: Livestock Patterns,866,Cattle,"Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, regardless of age, sex, or purpose raised. Data are expressed in number of heads."
EK,Agri-Environmental Indicators: Livestock Patterns,1746,Cattle and Buffaloes,
EK,Agri-Environmental Indicators: Livestock Patterns,1057,Chickens,Fowl (Gallus domesticus); Guinea fowl (Numida meleagris. Domesticated birds only. Data are expressed in thousands.
EK,Agri-Environmental Indicators: Livestock Patterns,1764,Equidae,
EK,Agri-Environmental Indicators: Livestock Patterns,1016,Goats,"Capra spp.. See 866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir and Angora."
EK,Agri-Environmental Indicators: Livestock Patterns,1096,Horses,Equus caballus. See 866.
EK,Agri-Environmental Indicators: Livestock Patterns,1752,Major livestock types,
EK,Agri-Environmental Indicators: Livestock Patterns,1110,Mules,Includes hinnies. Mules are offspring of a male ass and a female horse (mare); a hinny is the offspring of a female ass and a male horse (stallion). Both are sterile. See 866.
EK,Agri-Environmental Indicators: Livestock Patterns,1034,Pigs,Domestic pig (Sus domestica); wild boar (Sus scrofa). See 866. Excludes non-domesticated wild boars.
EK,Agri-Environmental Indicators: Livestock Patterns,976,Sheep,"Ovis spp.. See 866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan."
EK,Agri-Environmental Indicators: Livestock Patterns,1749,Sheep and Goats,
EP,Agri-Environmental Indicators: Pesticides indicators,1357,Pesticides (total),"Total pesticides, covering insecticides, fungicides and bactericides (including seed treatments), herbicides, plant growth regulators, rodenticides, mineral oils, disinfectants and others."
AE,ASTI R&D Indicators: ASTI-Expenditures,23045,Agriculture research spending,
AF,ASTI R&D Indicators: ASTI-Researchers,23046,Agricultural researchers,
FA,Emergency Response: Food Aid Shipments (WFP),10109,Blended And Mix,
FA,Emergency Response: Food Aid Shipments (WFP),10021,Bulgur Wheat Total,
FA,Emergency Response: Food Aid Shipments (WFP),11938,Butter Oil Total,
FA,Emergency Response: Food Aid Shipments (WFP),12061,Cereals,
FA,Emergency Response: Food Aid Shipments (WFP),11988,Coarse Grains,
FA,Emergency Response: Food Aid Shipments (WFP),11733,Dried Fruits Total,
FA,Emergency Response: Food Aid Shipments (WFP),11853,Edible Fat Total,
FA,Emergency Response: Food Aid Shipments (WFP),11839,Fish & Products,
FA,Emergency Response: Food Aid Shipments (WFP),11765,Meat & Products,
FA,Emergency Response: Food Aid Shipments (WFP),11934,"Milk, Total",
FA,Emergency Response: Food Aid Shipments (WFP),12062,Non-Cereals,
FA,Emergency Response: Food Aid Shipments (WFP),11815,Other Dairy Products,
FA,Emergency Response: Food Aid Shipments (WFP),11704,Other Non-Cereals,
FA,Emergency Response: Food Aid Shipments (WFP),11726,"Pulses, Total",
FA,Emergency Response: Food Aid Shipments (WFP),10031,Rice Total,
FA,Emergency Response: Food Aid Shipments (WFP),11890,Sugar Total,
FA,Emergency Response: Food Aid Shipments (WFP),11788,Vegetable Oils,
FA,Emergency Response: Food Aid Shipments (WFP),11945,Wheat & Wheat Flour,
GT,Emissions - Agriculture: Emissions Totals,6824,AFOLU,
GT,Emissions - Agriculture: Emissions Totals,1709,Agricultural Soils,
GT,Emissions - Agriculture: Emissions Totals,5066,Burning - Crop residues,Agriculture management practice that consists in the combustion of a percentage of crop residues burnt on-site. Greenhouse gas emissions from burning crop residues are methane and nitrous oxide gases.
GT,Emissions - Agriculture: Emissions Totals,5064,Crop Residues,Agriculture management practice that consists in returning to managed soils the residual part of the produce. The associated greenhouse gas emissions are nitrous oxide gas from crop residues’ decomposition.
GT,Emissions - Agriculture: Emissions Totals,6729,Drained organic soils,
GT,Emissions - Agriculture: Emissions Totals,67292,Drained organic soils (CO2),
GT,Emissions - Agriculture: Emissions Totals,67291,Drained organic soils (N2O),
GT,Emissions - Agriculture: Emissions Totals,6995,Emissions on agricultural land,
GT,Emissions - Agriculture: Emissions Totals,5058,Enteric Fermentation,Digestive process by which carbohydrates are broken down by micro organisms into simple molecules for absorption into the bloodstream of an animal. Greenhouse gas emissions from enteric fermentation consist of methane gas.
GT,Emissions - Agriculture: Emissions Totals,6996,Farm-gate emissions,
GT,Emissions - Agriculture: Emissions Totals,69921,Fires in humid tropical forests,
GT,Emissions - Agriculture: Emissions Totals,6993,Fires in organic soils,
GT,Emissions - Agriculture: Emissions Totals,6992,Forest fires,
GT,Emissions - Agriculture: Emissions Totals,6751,Forestland,
GT,Emissions - Agriculture: Emissions Totals,1711,IPCC Agriculture,
GT,Emissions - Agriculture: Emissions Totals,1707,LULUCF,
GT,Emissions - Agriculture: Emissions Totals,5062,Manure applied to Soils,Animal waste distributed on fields in amounts that enrich soils. Greenhouse gas emissions from manure applied to soils consist of nitrous oxide gas from manure added to managed soils.
GT,Emissions - Agriculture: Emissions Totals,5063,Manure left on Pasture,Animal waste left on managed soils from grazing livestock. Greenhouse gas emissions from manure left on pasture consist of nitrous oxide gas.
GT,Emissions - Agriculture: Emissions Totals,5059,Manure Management,"Refers to capture, storage, treatment, and utilization of animal manure. Greenhouse gas emissions from manure management consist of methane and nitrous oxide gases from aerobic and anaerobic manure decomposition processes."
GT,Emissions - Agriculture: Emissions Totals,6750,Net Forest conversion,"The net forest conversion is calculated as the difference of forest area for two consecutive years, consistently with IPCC approach 1. The term “net” indicates that no further specification on the underlying dynamics of the computed land area change is possible. Greenhouse gas emissions consist of the net contribution of CO2 sources and sinks due to deforestation, reforestation and afforestation activities within countries."
GT,Emissions - Agriculture: Emissions Totals,6994,On-farm energy use,
GT,Emissions - Agriculture: Emissions Totals,5060,Rice Cultivation,Agricultural practice for growing rice seeds. Greenhouse gas emissions from rice cultivation consist of methane gas from the anaerobic decomposition of organic matter in paddy fields.
GT,Emissions - Agriculture: Emissions Totals,6795,Savanna fires,
GT,Emissions - Agriculture: Emissions Totals,5061,Synthetic Fertilizers,Inorganic material of synthetic origin added to a soil to supply one or more plant nutrients essential to the growth of plants. Greenhouse gas emissions from synthetic fertilizers consist of the addition of nitrous oxide gas to managed soils.
GUNF,Emissions - Agriculture: GHG UNFCCC,1709,Agricultural Soils,
GUNF,Emissions - Agriculture: GHG UNFCCC,1711,Agriculture total,
GUNF,Emissions - Agriculture: GHG UNFCCC,1755,All Animals,
GUNF,Emissions - Agriculture: GHG UNFCCC,1712,All Crops,
GUNF,Emissions - Agriculture: GHG UNFCCC,6722,Animal manure applied to soils,
GUNF,Emissions - Agriculture: GHG UNFCCC,1107,Asses,Equus asinus. See 866.
GUNF,Emissions - Agriculture: GHG UNFCCC,946,Buffaloes,"Indian, Asiatic, pigmy, water buffalo (Bubalus bubalus; B. arnee; B. depressicornis); African buffalo (genus Syncerus); American bison (Bison bison); European bison (Bison bonasus); beeffalo (cross between a bison and a domesticated beef animal). See 866. Excludes wild bisons and buffaloes."
GUNF,Emissions - Agriculture: GHG UNFCCC,1126,Camels,Bactrian camel (Camelus bactrianus); Arabian camel (C. dromedarius). See 866.
GUNF,Emissions - Agriculture: GHG UNFCCC,1760,Camels and Llamas,
GUNF,Emissions - Agriculture: GHG UNFCCC,960,"Cattle, dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are producing milk in commercial quantities for human consumption."
GUNF,Emissions - Agriculture: GHG UNFCCC,961,"Cattle, non-dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are produce calves for meat or to provide draft power."
GUNF,Emissions - Agriculture: GHG UNFCCC,1054,Chickens,
GUNF,Emissions - Agriculture: GHG UNFCCC,5064,Crop Residues,Agriculture management practice that consists in returning to managed soils the residual part of the produce. The associated greenhouse gas emissions are nitrous oxide gas from crop residues’ decomposition.
GUNF,Emissions - Agriculture: GHG UNFCCC,6729,Cropland and grassland organic soils,
GUNF,Emissions - Agriculture: GHG UNFCCC,6734,Cultivation of histosols,
GUNF,Emissions - Agriculture: GHG UNFCCC,5056,Direct soil emissions,
GUNF,Emissions - Agriculture: GHG UNFCCC,1068,Ducks,Anas spp.. See 1057.
GUNF,Emissions - Agriculture: GHG UNFCCC,5058,Enteric Fermentation,Digestive process by which carbohydrates are broken down by micro organisms into simple molecules for absorption into the bloodstream of an animal. Greenhouse gas emissions from enteric fermentation consist of methane gas.
GUNF,Emissions - Agriculture: GHG UNFCCC,6731,Field burning of agricultural residues,
GUNF,Emissions - Agriculture: GHG UNFCCC,1016,Goats,"Capra spp.. See 866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir and Angora."
GUNF,Emissions - Agriculture: GHG UNFCCC,1096,Horses,Equus caballus. See 866.
GUNF,Emissions - Agriculture: GHG UNFCCC,5057,Indirect emissions,
GUNF,Emissions - Agriculture: GHG UNFCCC,1177,Llamas,See Other camelids.
GUNF,Emissions - Agriculture: GHG UNFCCC,56,Maize,"Zea mays Corn, Indian corn, mealies. A grain with a high germ content. At the national level, hybrid and ordinary maize should be reported separately owing to widely different yields and uses. Used largely for animal feed and commercial starch production."
GUNF,Emissions - Agriculture: GHG UNFCCC,5059,Manure Management,"Refers to capture, storage, treatment, and utilization of animal manure. Greenhouse gas emissions from manure management consist of methane and nitrous oxide gases from aerobic and anaerobic manure decomposition processes."
GUNF,Emissions - Agriculture: GHG UNFCCC,1110,Mules,Includes hinnies. Mules are offspring of a male ass and a female horse (mare); a hinny is the offspring of a female ass and a male horse (stallion). Both are sterile. See 866.
GUNF,Emissions - Agriculture: GHG UNFCCC,1759,Mules and Asses,
GUNF,Emissions - Agriculture: GHG UNFCCC,3102,Nutrient nitrogen N (total),Total nitrogen (N) from all fertilizer products
GUNF,Emissions - Agriculture: GHG UNFCCC,6725,Other (Agricultural Emissions),
GUNF,Emissions - Agriculture: GHG UNFCCC,6723,Other Direct Emissions,
GUNF,Emissions - Agriculture: GHG UNFCCC,6724,Other from Agricultural Soils,
GUNF,Emissions - Agriculture: GHG UNFCCC,6735,Pasture range and paddock manure,
GUNF,Emissions - Agriculture: GHG UNFCCC,2029,Poultry Birds,
GUNF,Emissions - Agriculture: GHG UNFCCC,6736,Prescribed burning of savannas,
GUNF,Emissions - Agriculture: GHG UNFCCC,5060,Rice Cultivation,Agricultural practice for growing rice seeds. Greenhouse gas emissions from rice cultivation consist of methane gas from the anaerobic decomposition of organic matter in paddy fields.
GUNF,Emissions - Agriculture: GHG UNFCCC,27,"Rice, paddy","Oryza spp., mainly oryza sativa. Rice grain after threshing and winnowing. Also known as rice in the husk and rough rice. Used mainly for human food."
GUNF,Emissions - Agriculture: GHG UNFCCC,976,Sheep,"Ovis spp.. See 866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan."
GUNF,Emissions - Agriculture: GHG UNFCCC,156,Sugar cane,"Saccharum officinarum. In some producing countries, marginal quantities of sugar cane are consumed, either directly as food or in the form of juice."
GUNF,Emissions - Agriculture: GHG UNFCCC,1048,Swine,
GUNF,Emissions - Agriculture: GHG UNFCCC,5061,Synthetic Fertilizers,Inorganic material of synthetic origin added to a soil to supply one or more plant nutrients essential to the growth of plants. Greenhouse gas emissions from synthetic fertilizers consist of the addition of nitrous oxide gas to managed soils.
GUNF,Emissions - Agriculture: GHG UNFCCC,1079,Turkeys,Meleagris gallopavo. See 1057.
GUNF,Emissions - Agriculture: GHG UNFCCC,15,Wheat,"Triticum spp.: common (T. aestivum) durum (T. durum) spelt (T. spelta). Common and durum wheat are the main types. Among common wheat, the main varieties are spring and winter, hard and soft, and red and white. At the national level, different varieties should be reported separately, reflecting their different uses. Used mainly for human food."
GB,Emissions: Burning - Crop Residues,1712,All Crops,
GB,Emissions: Burning - Crop Residues,56,Maize,"Zea mays Corn, Indian corn, mealies. A grain with a high germ content. At the national level, hybrid and ordinary maize should be reported separately owing to widely different yields and uses. Used largely for animal feed and commercial starch production."
GB,Emissions: Burning - Crop Residues,27,"Rice, paddy","Oryza spp., mainly oryza sativa. Rice grain after threshing and winnowing. Also known as rice in the husk and rough rice. Used mainly for human food."
GB,Emissions: Burning - Crop Residues,156,Sugar cane,"Saccharum officinarum. In some producing countries, marginal quantities of sugar cane are consumed, either directly as food or in the form of juice."
GB,Emissions: Burning - Crop Residues,15,Wheat,"Triticum spp.: common (T. aestivum) durum (T. durum) spelt (T. spelta). Common and durum wheat are the main types. Among common wheat, the main varieties are spring and winter, hard and soft, and red and white. At the national level, different varieties should be reported separately, reflecting their different uses. Used mainly for human food."
GA,Emissions: Crop Residues,1712,All Crops,
GA,Emissions: Crop Residues,44,Barley,"Hordeum spp.: two-row barley (H. disticum) six-row barley (H. hexasticum) four-row barley (H. vulgare). Tolerates poorer soils and lower temperatures better than does wheat. Varieties include with husk and without (naked). Used as a livestock feed, for malt and for preparing foods. The roasted grains are a coffee substitute."
GA,Emissions: Crop Residues,176,"Beans, dry","Phaseolus spp.: kidney, haricot bean (Ph. vulgaris); lima, butter bean (Ph. lunatus); adzuki bean (Ph. angularis); mungo bean, golden, green gram (Ph. aureus); black gram, urd (Ph. mungo); scarlet runner bean (Ph. coccineus); rice bean (Ph. calcaratus); moth bean (Ph. aconitifolius); tepary bean (Ph. acutifolius). Only species of Phaseolus should be included, though several countries also include certain types of beans. Commonly classified as Vigna (angularis, mungo, radiata, aconitifolia). In the past, these species were also classified as Phaseolus."
GA,Emissions: Crop Residues,56,Maize,"Zea mays Corn, Indian corn, mealies. A grain with a high germ content. At the national level, hybrid and ordinary maize should be reported separately owing to widely different yields and uses. Used largely for animal feed and commercial starch production."
GA,Emissions: Crop Residues,79,Millet,"Including inter alia: barnyard or Japanese millet (Echinocloa frumentacea); ragi, finger or African millet (Eleusine coracana); teff (Eragrostis abyssinica); common, golden or proso millet (Panicum miliaceum); koda or ditch millet (Paspalum scrobiculatum); pearl or cattail millet (Pennisetum glaucum); foxtail millet (Setaria italica). Small-grained cereals that include a large number of different botanical species. Originated by the domestication of wild African grasses in the Nile valley and the Sahel zone, millets were subsequently taken to China and India. These cereals tolerate arid conditions and possess a small, highly nutritious grain that stores well. Used locally, both as a food and as a livestock feed. In all areas where they are cultivated, millets are used in traditional beer brewing. Also used as a feed for birds."
GA,Emissions: Crop Residues,75,Oats,"Avena spp., mainly Avena sativa. A plant with open, spreading panicle-bearing large spikelets. Used primarily in breakfast foods. Makes excellent fodder for horses."
GA,Emissions: Crop Residues,116,Potatoes,"Solanum tuberosum Irish potato. A seasonal crop grown in temperate zones all over the world, but primarily in the northern hemisphere."
GA,Emissions: Crop Residues,27,"Rice, paddy","Oryza spp., mainly oryza sativa. Rice grain after threshing and winnowing. Also known as rice in the husk and rough rice. Used mainly for human food."
GA,Emissions: Crop Residues,71,Rye,"Secale cereale. A grain that is tolerant of poor soils, high latitudes and altitudes. Mainly used in making bread, whisky and beer. When fed to livestock, it is generally mixed with other grains."
GA,Emissions: Crop Residues,83,Sorghum,"Sorghum spp.: guinea corn (S. guineense); common, milo, feterita, kaffir corn (S. vulgare); durra, jowar, kaoliang (S. dura). A cereal that has both food and feed uses. Sorghum is a major food grain in most of Africa, where it is also used in traditional beer brewing. It is desirable to report hybrid and other varieties separately."
GA,Emissions: Crop Residues,236,Soybeans,"Glycine soja. The most important oil crop. Also widely consumed as a bean and in the form of various derived products because of its high protein content, e.g. soya milk, meat, etc."
GA,Emissions: Crop Residues,15,Wheat,"Triticum spp.: common (T. aestivum) durum (T. durum) spelt (T. spelta). Common and durum wheat are the main types. Among common wheat, the main varieties are spring and winter, hard and soft, and red and white. At the national level, different varieties should be reported separately, reflecting their different uses. Used mainly for human food."
GV,Emissions: Drained organic soils,6727,Cropland organic soils,
GV,Emissions: Drained organic soils,6729,Drained organic soils,
GV,Emissions: Drained organic soils,6728,Grassland organic soils,
GN,Emissions: Energy Use,6809,Coal,
GN,Emissions: Energy Use,6807,Electricity,
GN,Emissions: Energy Use,6811,Energy used in fishery,
GN,Emissions: Energy Use,6804,Fuel oil,
GN,Emissions: Energy Use,6806,Fuel oil used in fisheries,
